Date,AAPL.O
23/10/12,87.62211238
24/10/12,88.11848331
25/10/12,87.07677007
26/10/12,86.285628
29/10/12,
30/10/12,
31/10/12,85.04562924
1/11/12,85.21990049
2/11/12,82.3999176
5/11/12,83.51721648
6/11/12,83.26413102
7/11/12,79.71447743
8/11/12,76.82135175
9/11/12,78.15135042
12/11/12,77.54706531
13/11/12,77.55677959
14/11/12,76.69706616
15/11/12,75.08849634
16/11/12,75.38249605
19/11/12,80.81849061
20/11/12,80.13040558
21/11/12,80.2427769
22/11/12,
23/11/12,81.6427755
26/11/12,84.21848721
27/11/12,83.53991646
28/11/12,83.27705958
29/11/12,84.19420152
30/11/12,83.61134496
3/12/12,83.74134483
4/12/12,82.26354631
5/12/12,76.9702516
6/12/12,78.17770754
7/12/12,76.17849525
10/12/12,75.68862431
11/12/12,77.34106552
12/12/12,76.999923
13/12/12,75.66992433
14/12/12,72.82764146
17/12/12,74.11849731
18/12/12,76.2713523
19/12/12,75.18706767
20/12/12,74.53281118
21/12/12,74.18992581
24/12/12,74.30963998
25/12/12,
26/12/12,73.28556957
27/12/12,73.57992642
28/12/12,72.79838434
31/12/12,76.02462398
1/1/13,
2/1/13,78.43277871
3/1/13,77.44219399
4/1/13,75.285639
7/1/13,74.8427823
8/1/13,75.04421067
9/1/13,73.8713547
10/1/13,74.78706807
11/1/13,74.3284971
14/1/13,71.67849975
15/1/13,69.41707344
16/1/13,72.29849913
17/1/13,71.81135676
18/1/13,71.4285
21/1/13,
22/1/13,72.10992789
23/1/13,73.42921229
24/1/13,64.3570785
25/1/13,62.83993716
28/1/13,64.26136431
29/1/13,65.46707739
30/1/13,65.26136331
31/1/13,65.06993493
1/2/13,64.80279234
4/2/13,63.18793681
5/2/13,65.40622031
6/2/13,65.33564895
7/2/13,66.88850454
8/2/13,67.85421786
11/2/13,68.56136001
12/2/13,66.8427903
13/2/13,66.71564757
14/2/13,66.65564763
15/2/13,65.73707712
18/2/13,
19/2/13,65.71279143
20/2/13,64.12136445
21/2/13,63.72279342
22/2/13,64.40136417
25/2/13,63.2570796
26/2/13,64.13850729
27/2/13,63.50993649
28/2/13,63.0570798
1/3/13,61.49565279
4/3/13,60.00708285
5/3/13,61.59193841
6/3/13,60.80879633
7/3/13,61.51165277
8/3/13,61.67422404
11/3/13,62.55279459
12/3/13,61.20422451
13/3/13,61.19279595
14/3/13,61.7856525
15/3/13,63.37993662
18/3/13,65.10279204
19/3/13,64.92707793
20/3/13,64.58279256
21/3/13,64.67564961
22/3/13,65.98707687
25/3/13,66.22564806
26/3/13,65.87650555
27/3/13,64.58279256
28/3/13,63.23707962
29/3/13,
1/4/13,61.27279587
2/4/13,61.39879574
3/4/13,61.71279543
4/4/13,61.10279604
5/4/13,60.4570824
8/4/13,60.88708197
9/4/13,60.99708186
10/4/13,62.24136633
11/4/13,62.04708081
12/4/13,61.3999386
15/4/13,59.97851145
16/4/13,60.89136768
17/4/13,57.5427996
18/4/13,56.00708685
19/4/13,55.78994421
22/4/13,56.95280019
23/4/13,58.01851341
24/4/13,57.92308493
25/4/13,58.33994166
26/4/13,59.60065469
29/4/13,61.44565284
30/4/13,63.25422246
1/5/13,62.75565153
2/5/13,63.64565064
3/5/13,64.28279286
6/5/13,65.81564847
7/5/13,65.52250591
8/5/13,66.26279088
9/5/13,65.25279189
10/5/13,64.70993529
13/5/13,64.96279218
14/5/13,63.40850802
15/5/13,61.26422445
16/5/13,62.08250935
17/5/13,61.89422382
20/5/13,63.27565101
21/5/13,62.80850862
22/5/13,63.05050838
23/5/13,63.16279398
24/5/13,63.59279355
27/5/13,
28/5/13,63.06265122
29/5/13,63.56422215
30/5/13,64.51136406
31/5/13,64.2477929
3/6/13,64.38850704
4/6/13,64.18707867
5/6/13,63.58707927
6/6/13,62.63708022
7/6/13,63.11579403
10/6/13,62.69850873
11/6/13,62.5142232
12/6/13,61.74136683
13/6/13,62.28065201
14/6/13,61.43565285
17/6/13,61.714224
18/6/13,61.68136689
19/6/13,60.428511
20/6/13,59.54822617
21/6/13,59.0713695
24/6/13,57.50565678
25/6/13,57.51851391
26/6/13,56.86708599
27/6/13,56.25422946
28/6/13,56.64708621
1/7/13,58.45994154
2/7/13,59.78422593
3/7/13,60.1142256
4/7/13,
5/7/13,59.63136894
8/7/13,59.29279785
9/7/13,60.33565395
10/7/13,60.10422561
11/7/13,61.04108182
12/7/13,60.92993907
15/7/13,61.06279608
16/7/13,61.45636712
17/7/13,61.47279567
18/7/13,61.67965261
19/7/13,60.70708215
22/7/13,60.90136767
23/7/13,59.85565443
24/7/13,62.92993707
25/7/13,62.6427945
26/7/13,62.99850843
29/7/13,63.96993603
30/7/13,64.75993524
31/7/13,64.64707821
1/8/13,65.23936333
2/8/13,66.07707678
5/8/13,67.06421865
6/8/13,66.46421925
7/8/13,66.42564786
8/8/13,65.85850557
